trt,plot,flag,tree,sample,rep,cluster,fruit
thin,3,green/black,4,non-dest,2,7,2
thin,3,green/black,4,non-dest,2,7,3
thin,3,green/black,4,non-dest,2,7,4
thin,3,green/black,4,non-dest,2,7,5
thin,3,green/black,4,non-dest,2,7,6
thin,3,green/black,4,non-dest,2,8,1
thin,3,green/black,4,non-dest,2,8,2
thin,3,green/black,4,non-dest,2,8,3
thin,3,green/black,4,non-dest,2,8,4
thin,3,green/black,4,non-dest,2,8,5
thin,3,green/black,4,non-dest,2,8,6
thin,3,green/black,4,non-dest,2,9,1
thin,3,green/black,4,non-dest,2,9,2
thin,3,green/black,4,non-dest,2,9,3
thin,3,green/black,4,non-dest,2,9,4
thin,3,green/black,4,non-dest,2,9,5
thin,3,green/black,4,non-dest,2,9,6
thin,3,green/black,4,non-dest,2,10,1
thin,3,green/black,4,non-dest,2,10,2
thin,3,green/black,4,non-dest,2,10,3
thin,3,green/black,4,non-dest,2,10,4
thin,3,green/black,4,non-dest,2,10,5
thin,3,green/black,4,non-dest,2,10,6
thin,3,green/black,4,non-dest,2,11,1
thin,3,green/black,4,non-dest,2,11,2
thin,3,green/black,4,non-dest,2,11,3
thin,3,green/black,4,non-dest,2,11,4
thin,3,green/black,4,non-dest,2,11,5
thin,3,green/black,4,non-dest,2,11,6
thin,3,green/black,4,non-dest,2,12,1
thin,3,green/black,4,non-dest,2,12,2
thin,3,green/black,4,non-dest,2,12,3
thin,3,green/black,4,non-dest,2,12,4
thin,3,green/black,4,non-dest,2,12,5
thin,3,green/black,4,non-dest,2,12,6
thin,3,green/black,4,non-dest,2,13,1
thin,3,green/black,4,non-dest,2,13,2
thin,3,green/black,4,non-dest,2,13,3
thin,3,green/black,4,non-dest,2,13,4
thin,3,green/black,4,non-dest,2,13,5
thin,3,green/black,4,non-dest,2,13,6
thin,3,green/black,4,non-dest,2,14,1
thin,3,green/black,4,non-dest,2,14,2
thin,3,green/black,4,non-dest,2,14,3
thin,3,green/black,4,non-dest,2,14,4
thin,3,green/black,4,non-dest,2,14,5
thin,3,green/black,4,non-dest,2,14,6
thin,3,green/black,4,non-dest,2,15,1
thin,3,green/black,4,non-dest,2,15,2
thin,3,green/black,4,non-dest,2,15,3
thin,3,green/black,4,non-dest,2,15,4
thin,3,green/black,4,non-dest,2,15,5
thin,3,green/black,4,non-dest,2,15,6
thin,3,green/black,4,non-dest,2,16,1
thin,3,green/black,4,non-dest,2,16,2
thin,3,green/black,4,non-dest,2,16,3
thin,3,green/black,4,non-dest,2,16,4
thin,3,green/black,4,non-dest,2,16,5
thin,3,green/black,4,non-dest,2,16,6
thin,3,green/black,4,non-dest,2,17,1
thin,3,green/black,4,non-dest,2,17,2
thin,3,green/black,4,non-dest,2,17,3
thin,3,green/black,4,non-dest,2,17,4
